"id","name","liftType","completed"
6903,"Roc Mugnier.","DETACHABLE_CHAIRLIFT",""
6902,"Signal.","DETACHABLE_CHAIRLIFT",""
6805,"Chanrossa.","DETACHABLE_CHAIRLIFT",""
6807,"Pyramides 1","SURFACE_LIFT",""
6806,"Roc Merlet.","CHAIRLIFT",""
6788,"Aiguille du Fruit","DETACHABLE_CHAIRLIFT",""
6789,"Altiport.","SURFACE_LIFT",""
6795,"Bellecôte.","SURFACE_LIFT",""
6786,"Biollay.","DETACHABLE_CHAIRLIFT",""
6791,"Cospillot.","SURFACE_LIFT",""
6793,"Etoiles","SURFACE_LIFT",""
6790,"Ferme","SURFACE_LIFT",""
6794,"Golf 1850 n°1","MAGIC_CARPET",""
6796,"Golf 1850 n°2","MAGIC_CARPET",""
6787,"Pralong.","DETACHABLE_CHAIRLIFT",""
6783,"Rocher de l'Ombre","SURFACE_LIFT",""
6784,"Sources.","SURFACE_LIFT",""
6835,"Chenus.","GONDOLA",""
6840,"Epicéa","SURFACE_LIFT",""
71546,"Combes 2","DETACHABLE_CHAIRLIFT",""
6693,"Doron..","MAGIC_CARPET",""
7114,"Golf","DETACHABLE_CHAIRLIFT",""
7115,"Loze","DETACHABLE_CHAIRLIFT",""
7011,"Campagnols.","MAGIC_CARPET",""
7008,"Cascades.","DETACHABLE_CHAIRLIFT",""
7010,"Lac Blanc.","DETACHABLE_CHAIRLIFT",""
7012,"Musaraigne.","MAGIC_CARPET",""
7149,"Caves","SURFACE_LIFT",""
7150,"Stade","SURFACE_LIFT",""
9059,"POINTE DE LA MASSE","GONDOLA",""
7202,"REBERTY","DETACHABLE_CHAIRLIFT",""
7205,"TORTOLLET","CHAIRLIFT",""
7238,"PLANS","MAGIC_CARPET",""
9421,"BIOLLEY 1","MAGIC_CARPET",""
7268,"BIOLLEY 2","MAGIC_CARPET",""
7263,"GRANGES","DETACHABLE_BUBBLE_CHAIRLIFT",""
11907,"SAINT MARTIN 1","GONDOLA",""
7264,"SAINT MARTIN EXPRESS","DETACHABLE_BUBBLE_CHAIRLIFT",""
7304,"BECCA","DETACHABLE_CHAIRLIFT",""
7305,"BETTEX","DETACHABLE_CHAIRLIFT",""
7306,"MENUIRES","DETACHABLE_CHAIRLIFT",""
7309,"PELVOUX","MAGIC_CARPET",""
7301,"PREYERAND","TRAM",""
7302,"ROC 1","GONDOLA",""
7303,"ROC 2","DETACHABLE_BUBBLE_CHAIRLIFT",""
7090,"Tapis des Marmottons","MAGIC_CARPET",""
6753,"Bouc Blanc.","DETACHABLE_CHAIRLIFT",""
6723,"Bouquetin","DETACHABLE_CHAIRLIFT",""
6724,"Chatelet.","DETACHABLE_CHAIRLIFT",""
6725,"Plan des Mains","DETACHABLE_CHAIRLIFT",""
6722,"Plattières","GONDOLA",""
6905,"Ariondaz.","GONDOLA",""
6907,"Belvédère.","SURFACE_LIFT",""
6901,"Chapelets.","DETACHABLE_CHAIRLIFT",""
6906,"Granges.","SURFACE_LIFT",""
6909,"Petit Moriond.","GONDOLA",""
6694,"Ourson.","MAGIC_CARPET",""
6691,"Roc de Tougne","DETACHABLE_CHAIRLIFT",""
6695,"Table Verte","MAGIC_CARPET",""
6673,"Cote Brune","GONDOLA",""
6714,"Aigle.","SURFACE_LIFT",""
6712,"Pas du Lac 1","GONDOLA",""
6713,"Pas du Lac 2","GONDOLA",""
7009,"Deux Lacs","GONDOLA",""
7151,"Olympe 1","GONDOLA",""
7152,"Olympe 2","GONDOLA",""
6758,"Stade Tania.","SURFACE_LIFT",""
6792,"Jardin Alpin.","GONDOLA",""
6785,"Verdons.","GONDOLA",""
6839,"Forêt","DETACHABLE_BUBBLE_CHAIRLIFT",""
6847,"Grandes Combes.","CHAIRLIFT",""
6842,"Grangettes","GONDOLA",""
6837,"Loze A","SURFACE_LIFT",""
6838,"Plantrey.","DETACHABLE_CHAIRLIFT",""
6844,"Roys","SURFACE_LIFT",""
71255,"Tapis du Praz","MAGIC_CARPET",""
7265,"TEPPES","SURFACE_LIFT",""
6843,"Tovets.","DETACHABLE_CHAIRLIFT",""
6870,"Marmottes.","DETACHABLE_CHAIRLIFT",""
6702,"Mont Vallon","GONDOLA",""
6703,"Mûres Rouges.","DETACHABLE_CHAIRLIFT",""
6692,"Arolles","SURFACE_LIFT",""
6689,"Chalets","GONDOLA",""
6690,"Combes 1","DETACHABLE_CHAIRLIFT",""
7007,"Péclet","FUNITEL",""
6978,"Plan de l'Eau.","DETACHABLE_CHAIRLIFT",""
6752,"Dou des Lanches.","DETACHABLE_CHAIRLIFT",""
6756,"Mon Tania","MAGIC_CARPET",""
7148,"Arpasson","SURFACE_LIFT",""
7146,"Cherferie","DETACHABLE_CHAIRLIFT",""
7144,"Legends","DETACHABLE_BUBBLE_CHAIRLIFT",""
7147,"Olympic","DETACHABLE_CHAIRLIFT",""
7143,"Tougnète 1","GONDOLA",""
7145,"Tougnète 2","DETACHABLE_BUBBLE_CHAIRLIFT",""
6754,"Tania","GONDOLA",""
8950,"Orelle Caron","GONDOLA",""
6908,"Mickey","SURFACE_LIFT",""
6910,"Mine","MAGIC_CARPET",""
6904,"Petite Bosse.","SURFACE_LIFT",""
6911,"Sheriff","MAGIC_CARPET",""
