id,name,slopeLevel,completed
72189,Pralinette,GREEN,
72118,Zen Pralong,GREEN,
72338,Biollay M,RED,
6865,Freeride Lab,RED,
6719,Alouette,RED,
6716,Bouvreuil Bleue,BLUE,
6720,Bouvreuil Rouge,RED,
10225,Ibex,BLACK,
6717,Jn'Bee,BLUE,
6721,Mouflon,RED,
70740,Rossignol,BLUE,
6718,Sittelle,BLUE,
6881,Ariondaz,BLUE,
6889,Bel Air,RED,
6893,Belvédère,GREEN,
6877,Chapelets,RED,
6883,Easy Way,BLUE,
6885,Gentianes,BLUE,
6882,Grandes Bosses,RED,
6892,Granges,BLUE,
6890,Indiens,BLUE,
6880,Marquis,BLUE,
6899,Moriond,GREEN,
6900,Mousserons,BLUE,
6887,Petite Bosse,GREEN,
6891,Praline,GREEN,
6879,Rochers,RED,
6888,Signal,BLUE,
6895,Zen Mickey,GREEN,
6799,Chanrossa,BLACK,
6798,Jean Pachod,RED,
6804,Lac Ariondaz,BLUE,
6803,Montagnes Russes,BLUE,
6802,Plan Mugnier,BLUE,
6801,Pyramides,BLUE,
6800,Roc Merlet,RED,
6772,Altipôle,RED,
6770,Altiport,BLUE,
6780,Bellecôte,GREEN,
6781,Bellecôte-Pralong,GREEN,
6762,Biollay,BLUE,
6763,Biollay-Verdons,BLUE,
6771,Cave des Creux,RED,
6777,Cospillot,BLUE,
6778,Jardin Alpin,GREEN,
6773,Mur,BLACK,
6761,Petit Lac,BLUE,
6774,Plan du Vah,RED,
6767,Pralong,BLUE,
6768,Pralong-Suisses,BLUE,
6775,Praméruel,BLUE,
6769,Rama,BLUE,
6765,Renards,GREEN,
6759,Sources,BLUE,
6766,Super Pralong,BLUE,
6760,Verdons,GREEN,
6776,Zen Ferme,GREEN,
6825,Amoureux,RED,
6810,Anémones,BLUE,
6824,Brigues,RED,
6819,Chabichou,BLUE,
6811,Chenus,RED,
6813,Coqs,RED,
11686,Eclipse,BLACK,
6831,Grandes Combes,BLUE,
6820,Jean Blanc,BLACK,
6809,Lac Bleu,BLUE,
6812,Loze Est,GREEN,
6823,Plantrey,GREEN,
6828,Provères,BLUE,
6826,Saint Bon,RED,
6827,Tovets,RED,
71442,Traversée,GREEN,
6864,Américain,RED,
6853,Bosses,BLACK,
6857,Combe des Pylônes,BLACK,
6850,Combe Saulire,RED,
6854,Creux,BLUE,
6851,Grand Couloir,BLACK,
6855,Lac des Creux,BLUE,
6858,M,BLACK,
6861,Marmottes,RED,
6860,Park City,RED,
6859,Suisses,BLACK,
6852,Téléphone,BLACK,
6856,Vizelle-Combe,RED,
6863,Vizelle-Creux,BLUE,
6700,Campagnol,BLACK,
6701,Combe du Vallon,RED,
6698,Mûres Rouges,BLUE,
6699,Ours,BLUE,
6688,Bartavelle,BLACK,
6682,Combe du Laitelet,RED,
6705,Aigle,RED,
6704,Chardonneret Bleue,BLUE,
6706,Chardonneret Rouge,RED,
6710,Grande Rosière,BLACK,
6707,Marcassin,RED,
6708,Niverolle,RED,
6711,Sanglier,BLACK,
7094,Biche,BLUE,
72366,Roches Grises,BLACK,
7091,Blanchot,GREEN,
7095,Boulevard Loze,BLUE,
7096,Doron,BLUE,
7097,Geai,BLUE,
7098,Hulotte,BLUE,
7104,Mauduit,RED,
7105,Renard,RED,
7093,Rhodos,GREEN,
7106,Tetras,BLACK,
6983,2 Combes,GREEN,
6995,Adrien Théaux,RED,
6996,Ardoises,RED,
6997,Beranger,RED,
6990,Bleuets,BLUE,
6984,Campagnols,GREEN,
7006,Cascades,BLACK,
6991,Chalets,BLUE,
6998,Christine,RED,
6999,Combe de Peclet,RED,
7000,Croissant,RED,
6992,Dalles,BLUE,
6985,Espace Junior,GREEN,
6993,Hermine,BLUE,
7001,Lac Blanc,RED,
7002,Lauzes,RED,
6986,Musaraigne,GREEN,
6987,Roc,GREEN,
7004,Stade Chloé  Trespeuch ,RED,
15935,STADE Yannick Richard,BLACK,
6994,Tête Ronde,BLUE,
6988,Traversée des 2 Lacs,GREEN,
7005,Vires,RED,
7132,Blaireau,RED,
7139,Bosses,BLACK,
7124,Choucas,BLUE,
7134,Combe Tougnète,RED,
7125,Crêtes,BLUE,
7136,Eterlou,RED,
7126,Faon,BLUE,
7122,Perdrix,GREEN,
7131,Roc De Fer,BLUE,
7123,Truite,GREEN,
7138,Villages,RED,
7181,Bd Doron,GREEN,
7182,Bd Tête,BLUE,
7183,Bouquetin,BLUE,
12083,Crêtes,RED,
7193,Dame Blanche,BLACK,
7186,Enverses,BLUE,
7189,Fred Covili,RED,
7194,Lac Noir,BLACK,
7190,Longet,RED,
7196,Masse,BLACK,
7191,Mur Rouge,RED,
7197,Rocher Noir,BLACK,
7192,Rochers.,RED,
7187,Vallons,BLUE,
7221,4 Vents,RED,
7223,Aiglon,RED,
7224,Alpage Bas,RED,
7225,Alpage Haut,RED,
7208,Bd Echauds,BLUE,
7209,Bd France,BLUE,
7226,Bd Lance,RED,
7211,Boyes,BLUE,
7212,Bruyères,BLUE,
7213,Cumin Bas,BLUE,
7227,David Douillet Bas,RED,
7228,David Douillet Haut,RED,
7207,Fontanettes,GREEN,
7214,Gaston,BLUE,
9060,Léo Lacroix Bas,BLACK,
7230,Léo Lacroix Haut,BLACK,
7229,Les Pylônes,BLACK,
7215,Mont de la Chambre,BLUE,
7216,Paturages Bas,BLUE,
7217,Paturages Haut,BLUE,
7219,Plans,BLUE,
14646,Bd du Mollard,BLUE,
7256,Cherferie,RED,
7257,Evons,RED,
71604,Femaz,BLUE,
7250,Grand Lac,BLUE,
7251,Gros Tougne Haut,BLUE,
7252,Jerusalem,BLUE,
71374,Les Marières,BLUE,
7261,Liberty Ride Riondaz,BLACK,
7253,Pelozet,BLUE,
7258,Planes,RED,
7259,Pramint,RED,
7254,St Martin,BLUE,
7260,Teppes,RED,
7255,Verdet,BLUE,
7278,3 Marches,BLUE,
7280,Bd Becca,BLUE,
7281,Bd Girauds,BLUE,
7274,Bd Masse,GREEN,
7283,BD Sunny,BLUE,
7284,Bettex Bas,BLUE,
7285,Bettex Haut,BLUE,
7286,Côte Brulée,BLUE,
7287,Gros Tougne Bas,BLUE,
7288,Lac Combes,BLUE,
7289,Menuires,BLUE,
7275,Montagnette,GREEN,
7276,Pelvoux,GREEN,
7290,Petits Creux,BLUE,
7291,Preyerand Bas,BLUE,
9061,Violette Bas,GREEN,
7277,Violette Haut,GREEN,
6969,Armoise,BLACK,
6970,Arolle,BLACK,
6964,Boismint,RED,
6965,Cime,RED,
6971,Combe de Caron,BLACK,
6972,Cristaux,BLACK,
6959,Gentiane,BLUE,
6960,Lagopède,BLUE,
6963,Tétras,BLUE,
7014,Accès UCPA,BLUE,
7015,Bd Goitschel,BLUE,
7013,Voie Lactée,GREEN,
6746,Moretta Blanche,RED,
7282,BD Guri,BLUE,
7080,Lory,BLUE,
7081,Peyron,BLUE,
6894,Belvédère-Granges,GREEN,
6878,Boix Vives,RED,
6898,Cèpes,BLUE,
6886,Gravelles,BLUE,
6884,Roc Mugnier,RED,
6764,Marquetty,RED,
6683,Coqs,RED,
6684,Dahu,RED,
6685,Fouine,RED,
6686,Julie,RED,
6678,Little Himalaya,GREEN,
6681,Martre,BLUE,
6687,Pouillard,RED,
6670,Lac de la Chambre Bleue,BLUE,
6671,Lac de la Chambre Rouge,RED,
6672,Venturon,RED,
7195,Liberty Ride Masse,BLACK,
7078,Croix d'Antide,GREEN,
7079,Gentianes,BLUE,
7082,Bouchet,RED,
7084,Mauriennaise,RED,
7085,Combe de Rosaël,BLACK,
7083,Coraia,RED,
